N,File,r,Scenario,rhoR1R1True,runNo
100,GZ_cellProbabilities4x4_Group13.csv,4,13,0.494615635,80
100,GZ_cellProbabilities5x5_Group1.csv,5,1,-5.79E-08,81
100,GZ_cellProbabilities5x5_Group2.csv,5,2,0.064035789,82
100,GZ_cellProbabilities5x5_Group3.csv,5,3,-0.398834736,83
100,GZ_cellProbabilities5x5_Group5.csv,5,5,-0.118535244,84
100,GZ_cellProbabilities5x5_Group6.csv,5,6,0.08848002,85
100,GZ_cellProbabilities5x5_Group7.csv,5,7,-0.405383164,86
100,GZ_cellProbabilities5x5_Group8.csv,5,8,0.425880687,87
100,GZ_cellProbabilities5x5_Group11.csv,5,11,-6.87E-07,88
100,GZ_cellProbabilities5x5_Group12.csv,5,12,0.164747842,89
100,GZ_cellProbabilities5x5_Group13.csv,5,13,0.49763817,90
100,cellProbabilities3x3_Group1.csv,3,1,-0.066332559,91
100,cellProbabilities3x3_Group2.csv,3,2,0.066329397,92
100,cellProbabilities3x3_Group3.csv,3,3,-0.392108273,93
100,cellProbabilities3x3_Group5.csv,3,5,-0.045469407,94
100,cellProbabilities3x3_Group6.csv,3,6,0.078453829,95
100,cellProbabilities3x3_Group7.csv,3,7,-0.456369814,96
100,cellProbabilities3x3_Group8.csv,3,8,0.470688225,97
100,cellProbabilities3x3_Group11.csv,3,11,-0.043438995,98
100,cellProbabilities3x3_Group12.csv,3,12,0.17088289,99
100,cellProbabilities3x3_Group13.csv,3,13,0.478294429,100
100,cellProbabilities4x4_Group1.csv,4,1,-3.43E-08,101
100,cellProbabilities4x4_Group2.csv,4,2,0.024907924,102
100,cellProbabilities4x4_Group3.csv,4,3,-0.343158906,103
100,cellProbabilities4x4_Group5.csv,4,5,-0.07681187,104
100,cellProbabilities4x4_Group6.csv,4,6,0.015957541,105
100,cellProbabilities4x4_Group7.csv,4,7,-0.485873615,106
100,cellProbabilities4x4_Group8.csv,4,8,0.489749996,107
100,cellProbabilities4x4_Group11.csv,4,11,-0.139742277,108
100,cellProbabilities4x4_Group12.csv,4,12,0.116230895,109
100,cellProbabilities4x4_Group13.csv,4,13,0.494615635,110
100,cellProbabilities5x5_Group1.csv,5,1,-5.79E-08,111
100,cellProbabilities5x5_Group2.csv,5,2,0.064035789,112
100,cellProbabilities5x5_Group3.csv,5,3,-0.398834736,113
100,cellProbabilities5x5_Group5.csv,5,5,-0.118535244,114
100,cellProbabilities5x5_Group6.csv,5,6,0.08848002,115
100,cellProbabilities5x5_Group7.csv,5,7,-0.405383164,116
100,cellProbabilities5x5_Group8.csv,5,8,0.425880687,117
100,cellProbabilities5x5_Group11.csv,5,11,-6.87E-07,118
100,cellProbabilities5x5_Group12.csv,5,12,0.164747842,119
100,cellProbabilities5x5_Group13.csv,5,13,0.49763817,120
250,GZ_cellProbabilities3x3_Group1.csv,3,1,-0.066332559,121
250,GZ_cellProbabilities3x3_Group2.csv,3,2,0.066329397,122
250,GZ_cellProbabilities3x3_Group3.csv,3,3,-0.392108273,123
250,GZ_cellProbabilities3x3_Group5.csv,3,5,-0.045469407,124
250,GZ_cellProbabilities3x3_Group6.csv,3,6,0.078453829,125
250,GZ_cellProbabilities3x3_Group7.csv,3,7,-0.456369814,126
250,GZ_cellProbabilities3x3_Group8.csv,3,8,0.470688225,127
250,GZ_cellProbabilities3x3_Group11.csv,3,11,-0.043438995,128
250,GZ_cellProbabilities3x3_Group12.csv,3,12,0.17088289,129
250,GZ_cellProbabilities3x3_Group13.csv,3,13,0.478294429,130
250,GZ_cellProbabilities4x4_Group1.csv,4,1,-3.43E-08,131
250,GZ_cellProbabilities4x4_Group2.csv,4,2,0.024907924,132
250,GZ_cellProbabilities4x4_Group3.csv,4,3,-0.343158906,133
250,GZ_cellProbabilities4x4_Group5.csv,4,5,-0.07681187,134
250,GZ_cellProbabilities4x4_Group6.csv,4,6,0.015957541,135
250,GZ_cellProbabilities4x4_Group7.csv,4,7,-0.485873615,136
250,GZ_cellProbabilities4x4_Group8.csv,4,8,0.489749996,137
250,GZ_cellProbabilities4x4_Group11.csv,4,11,-0.139742277,138
250,GZ_cellProbabilities4x4_Group12.csv,4,12,0.116230895,139
250,GZ_cellProbabilities4x4_Group13.csv,4,13,0.494615635,140
250,GZ_cellProbabilities5x5_Group1.csv,5,1,-5.79E-08,141
250,GZ_cellProbabilities5x5_Group2.csv,5,2,0.064035789,142
250,GZ_cellProbabilities5x5_Group3.csv,5,3,-0.398834736,143
250,GZ_cellProbabilities5x5_Group5.csv,5,5,-0.118535244,144
250,GZ_cellProbabilities5x5_Group6.csv,5,6,0.08848002,145
250,GZ_cellProbabilities5x5_Group7.csv,5,7,-0.405383164,146
250,GZ_cellProbabilities5x5_Group8.csv,5,8,0.425880687,147
250,GZ_cellProbabilities5x5_Group11.csv,5,11,-6.87E-07,148
250,GZ_cellProbabilities5x5_Group12.csv,5,12,0.164747842,149
250,GZ_cellProbabilities5x5_Group13.csv,5,13,0.49763817,150
250,cellProbabilities3x3_Group1.csv,3,1,-0.066332559,151
250,cellProbabilities3x3_Group2.csv,3,2,0.066329397,152
250,cellProbabilities3x3_Group3.csv,3,3,-0.392108273,153
250,cellProbabilities3x3_Group5.csv,3,5,-0.045469407,154
250,cellProbabilities3x3_Group6.csv,3,6,0.078453829,155
250,cellProbabilities3x3_Group7.csv,3,7,-0.456369814,156
250,cellProbabilities3x3_Group8.csv,3,8,0.470688225,157
250,cellProbabilities3x3_Group11.csv,3,11,-0.043438995,158
250,cellProbabilities3x3_Group12.csv,3,12,0.17088289,159
250,cellProbabilities3x3_Group13.csv,3,13,0.478294429,160
250,cellProbabilities4x4_Group1.csv,4,1,-3.43E-08,161
250,cellProbabilities4x4_Group2.csv,4,2,0.024907924,162
250,cellProbabilities4x4_Group3.csv,4,3,-0.343158906,163
250,cellProbabilities4x4_Group5.csv,4,5,-0.07681187,164
250,cellProbabilities4x4_Group6.csv,4,6,0.015957541,165
250,cellProbabilities4x4_Group7.csv,4,7,-0.485873615,166
250,cellProbabilities4x4_Group8.csv,4,8,0.489749996,167
250,cellProbabilities4x4_Group11.csv,4,11,-0.139742277,168
250,cellProbabilities4x4_Group12.csv,4,12,0.116230895,169
250,cellProbabilities4x4_Group13.csv,4,13,0.494615635,170
250,cellProbabilities5x5_Group1.csv,5,1,-5.79E-08,171
250,cellProbabilities5x5_Group2.csv,5,2,0.064035789,172
250,cellProbabilities5x5_Group3.csv,5,3,-0.398834736,173
250,cellProbabilities5x5_Group5.csv,5,5,-0.118535244,174
250,cellProbabilities5x5_Group6.csv,5,6,0.08848002,175
250,cellProbabilities5x5_Group7.csv,5,7,-0.405383164,176
250,cellProbabilities5x5_Group8.csv,5,8,0.425880687,177
250,cellProbabilities5x5_Group11.csv,5,11,-6.87E-07,178
250,cellProbabilities5x5_Group12.csv,5,12,0.164747842,179
250,cellProbabilities5x5_Group13.csv,5,13,0.49763817,180
500,GZ_cellProbabilities3x3_Group1.csv,3,1,-0.066332559,181
500,GZ_cellProbabilities3x3_Group2.csv,3,2,0.066329397,182
500,GZ_cellProbabilities3x3_Group3.csv,3,3,-0.392108273,183
500,GZ_cellProbabilities3x3_Group5.csv,3,5,-0.045469407,184
500,GZ_cellProbabilities3x3_Group6.csv,3,6,0.078453829,185
500,GZ_cellProbabilities3x3_Group7.csv,3,7,-0.456369814,186
500,GZ_cellProbabilities3x3_Group8.csv,3,8,0.470688225,187
500,GZ_cellProbabilities3x3_Group11.csv,3,11,-0.043438995,188
500,GZ_cellProbabilities3x3_Group12.csv,3,12,0.17088289,189
500,GZ_cellProbabilities3x3_Group13.csv,3,13,0.478294429,190
500,GZ_cellProbabilities4x4_Group1.csv,4,1,-3.43E-08,191
500,GZ_cellProbabilities4x4_Group2.csv,4,2,0.024907924,192
500,GZ_cellProbabilities4x4_Group3.csv,4,3,-0.343158906,193
