"","cd","d","o","y","cy"
"cd",0.116937821231209,0.213935154770646,0.0747768288441473,0.00699462843451714,0
"d",0.00115933067975422,0.0199018433357808,0.0319202380492329,0.0078448042663369,7.72887119836148e-05
"o",0.000347799203926267,0.0115546624415504,0.0282103798740194,0.0108977083896897,0.000502376627893496
"y",7.72887119836148e-05,0.00865633574216486,0.0294083549097654,0.0202109981837153,0.00108204196777061
"cy",0.000115933067975422,0.00819260347026317,0.0762066700158442,0.212466669242957,0.118522239826873
