"","cd","d","o","y","cy"
"cd",0.116822928396174,0.205570108375708,0.0779530701182532,0.00885022184819499,9.87747974128905e-05
"d",0.00125641542309197,0.0209323550677398,0.031868700637295,0.0091307422728476,0.000197549594825781
"o",0.000501775970857484,0.0123112907495427,0.0291859771395609,0.0125404482795406,0.000446462084306265
"y",0.000142235708274562,0.00881466292112635,0.0315447193017807,0.0215961217063544,0.00123666046360939
"cy",9.87747974128905e-05,0.00913469326474411,0.0788183373435901,0.204471732628476,0.11647524110928
