"","cd","d","o","y","cy"
"cd",0.201167677156514,0.0800692907323645,0.051903891187887,0.0413178070766368,0.033843390113239
"d",0.0174830783049434,0.0115805344368524,0.0109068745388638,0.00952747570012511,0.0118692458217047
"o",0.0125749847624547,0.00978410804221602,0.0092708433580342,0.00946331761460238,0.0115805344368524
"y",0.0124145895486479,0.0104577679402047,0.0101048984698297,0.013922304558432,0.0156224938247843
"cy",0.0346453661822731,0.0415744394187277,0.0541494241811824,0.0795239470054214,0.205241715587207
