"","cd","d","o","y","cy"
"cd",0.177744755244755,0.175402097902098,0.0518531468531469,0.00472027972027972,5.24475524475524e-05
"d",0.00132867132867133,0.0226573426573427,0.0301923076923077,0.00683566433566434,0.00020979020979021
"o",0.000262237762237762,0.0116258741258741,0.0283741258741259,0.0116433566433566,0.00034965034965035
"y",0.00013986013986014,0.00736013986013986,0.0309965034965035,0.022534965034965,0.00125874125874126
"cy",6.99300699300699e-05,0.00491258741258741,0.053479020979021,0.176118881118881,0.179877622377622
