"","cd","d","o","y","cy"
"cd",0.120652336969333,0.217881404967533,0.0681267813899663,0.00424319053639929,4.28605104686797e-05
"d",0.000257163062812078,0.0206373357906693,0.0342241176092407,0.00600047146561516,6.42907657030195e-05
"o",4.28605104686797e-05,0.0102008014915458,0.0316310567258856,0.0100936502153741,0.000192872297109059
"y",8.57210209373594e-05,0.00634335554936459,0.0356385144547072,0.0204230332383259,0.000471465615155476
"cy",2.14302552343398e-05,0.0047360864067891,0.0699269228296509,0.218417161348392,0.119645114973319
