"","cd","d","o","y","cy"
"cd",0.260539272492655,0.101032942665105,0.0322003745904874,0.00558597102248169,0.000241166116473838
"d",0.00689829053939777,0.0266519878978458,0.0252551036387895,0.010044412149761,0.000809629105305028
"o",0.0023098702714215,0.015627251144756,0.0249434669038655,0.0159529820033701,0.00226758790035141
"y",0.000887929792471859,0.00976566170344711,0.0256090227447836,0.0267490807499327,0.00692961081426451
"cy",0.000192619690430403,0.00582087308398218,0.032505747270438,0.100065146171723,0.26111399953646
