"","cd","d","o","y","cy"
"cd",0.172306686284126,0.024194866764754,0.0194539807094981,0.0230505149583129,0.170508419159719
"d",0.0259931338891614,0.00506784371423901,0.00376001307830636,0.00392349190779794,0.0243583455942455
"o",0.0220696419813634,0.00326957658983162,0.00196174595389897,0.00212522478339055,0.0192905018800065
"y",0.0294261893084846,0.00326957658983162,0.00392349190779794,0.00245218244237371,0.0248487820827203
"cy",0.175739741703449,0.0248487820827203,0.0205983325159392,0.0233774726172961,0.170181461500736
